Страница;Title;Description;Keywords
/;Курсы IT в Киеве - QA Start Up - учебный центр информационных технологий;Учебный центр информационных технологий QA Start Up - начни свою карьеру в сфере IT. Записывайся на курсы по телефону - 096 255 45 49;QA Start Up, Курсы IT в Киеве
/about.php;О нас - учебный центр QA Start Up;Информация об учебном центре QA Start Up. Звоните и записывайтесь на курсы по телефону - 096 255 45 49;О нас
/instructors.php;Тренеры учебного центра QA Start Up;Тренеры нашего учебного центра имеют большой практически опыт работы в международных IT компаниях. Звоните по телефону 096 255 45 49;Тренеры, QA Start Up
/faq.php;FAQ - Часто задаваемые вопросы;Страница с часто задаваемыми вопросами нашему учебному центру QA Start Up. Консультация по телефону 096 255 45 49;FAQ , QA Start Up
/price.php;Стоимость курсов учебного центра QA Start Up;Цены на курсы в нашем учебном центре. Консультация по телефону 096 255 45 49;Цены, QA Start Up
/discount.php;Акции и скидки на курсы в учебном центре QA Start Up;Акции и скидки на обучение и выгодные предложения для вас. Записывайтесь на наши курсы по телефону 096 255 45 49;Акции, скидки на курсы
/feedback.php;Отзывы студентов и выпускников центра QA Start Up;Отзывы студентов и выпускников о нашем учебном центре, наших тренерах и системе обучения.;Отзывы
/contacts.php;Контакты учебного центра QA Start Up;Страница с контактами нашего учебного центра информационных технологий. ;Контакты, QA Start Up
/trainers/first-trainer.php;Гливинский Сергей Константинович - тренер в QA Start Up;Тренер Гливинский Сергей Константинович по курсу Тестирование программного обеспечения (QA Testing);Гливинский Сергей
/trainers/second-trainer.php;Попов Роман Александрович - тренер в QA Start Up;Тренер Попов Роман Александрович по курсу Тестирование программного обеспечения (QA Testing);Попов Роман
/trainers/fifth-trainer.php;Васюта Роман Мирославович - тренер в QA Start Up;Тренер Васюта Роман Мирославович по курсу Автоматизированное тестирование (Selenium + Python);Васюта Роман
/trainers/third-trainer.php;Куреза Сергей Анатолиевич - тренер в QA Start Up;Тренер Куреза Сергей Анатолиевич по курсу Основы SQL, Основы UNIX;Куреза Сергей
/trainers/fourth-trainer.php;Корсун Владимир Витальевич - тренер в QA Start Up;Тренер Корсун Владимир Витальевич по курсу Основы сетей (Networks);Корсун Владимир
/course.php;Курсы учебного центра ИТ QA Start Up;Курсы от учебного центра информационных технологий QA Start Up. Выберете интересный для Вас курс и записывайся по телефону 096 255 45 49;Курсы, QA Start Up
/courses/qa.php;Курсы тестировщиков ПО (QA) в Киеве. Тестирование программного обеспечения - QA Start Up;Курсы тестировщиков в Киеве от учебного центра информационных технологий QA Start Up. Доступные цены. Акции и Скидки. Тел. 096 255 45 49;курсы тестировщиков киев, курсы qa киев
/courses/selenium.php;Курсы автоматизированное тестирование в Киеве. Автоматизация тестирования;Курс Автоматизированного тестирования (Selenium + Python) в учебном центра ИТ QA Start Up. Доступные цены. Акции и Скидки. Тел. 096 255 45 49;Курсы автоматизированное тестирование
/courses/sql.php;Курсы SQL в Киев для начинающих. Обучение SQL;Курс Основы SQL в Киеве от учебного центра информационных технологий QA Start Up. Доступные цены. Акции и Скидки. Тел. 096 255 45 49;курсы sql киев, курсы sql для начинающих
/courses/unix.php;Курсы UNIX в Киев. Обучение UNIX в учебном центре QA Start Up;Курс Основы UNIX от учебного центра информационных технологий QA Start Up в Киеве. Доступные цены. Записывайтесь по тел. 096 255 45 49;курсы unix, обучение unix
/courses/networking.php;Курсы Построение сетей в Киев. Компьютерные сети (Networks);Курс Основы сетей (Networks) от учебного центра информационных технологий QA Start Up в Киеве. Доступные цены. Записывайтесь 096 255 45 49;курсы построение сетей, курсы компьютерные сети
